,bigg.metabolite,bigg.reaction,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,chebiID,SPL
1340,pnto__r,citl,,Pantothenate,4.1.3.6,C00864,,1509,pantothenate,33364,+,Escherichia coli,BRENDA,CHEBI:46905,5.0
1341,pnto__r,mohmt,0.5 mM or above,Pantothenate,2.1.2.11,C00864,,1509,pantothenate,"485700, 485701",-,Escherichia coli,BRENDA,CHEBI:46905,5.0
1342,pnto__r,pants,,Pantothenate,6.3.2.1,C00864,,3661,pantothenic acid,979,-,Escherichia coli,BRENDA,CHEBI:46905,1.0
1343,ppa,acs,ReactionID=ACETATE--COA-LIGASE-RXN,,6.2.1.1,,,PROPIONATE,,,-,Escherichia coli,EcoCyc,CHEBI:17272,3.0
1344,ppa,mcitd,,Propanoate,4.2.1.79,C00163,,312,Propionate,653158,+,Escherichia coli,BRENDA,CHEBI:30768,5.0
1345,ppa,ugmdds,inhibition of wild-type enzyme,Propanoate,6.3.2.10,C00163,,312,Propionate,651110,+,Escherichia coli,BRENDA,CHEBI:30768,3.0
1346,ppal,drpa,ReactionID=DEOXYRIBOSE-P-ALD-RXN,Propanal,4.1.2.4,C00479,,273,propionaldehyde,5172,-,Escherichia coli,BRENDA,CHEBI:17153,5.0
1347,ppcoa,cs,ReactionID=CITSYN-RXN,,2.3.3.16,,,PROPIONYL-COA,,,-,Escherichia coli,EcoCyc,CHEBI:57392,3.0
1348,ppgpp,adpt,strong,"Guanosine 3',5'-bis(diphosphate)",2.4.2.8,C01228,,3703,ppGpp,638391,-,Escherichia coli,BRENDA,CHEBI:17633,3.0
1349,ppgpp,adss,competitive with respect to GTP and noncompetitive with respect to L-Asp and IMP,"Guanosine 3',5'-bis(diphosphate)",6.3.4.4,C01228,,44202,Guanosine 5'-diphosphate-3'-diphosphate,1542,-,Escherichia coli,BRENDA,CHEBI:17633,3.0
1350,ppgpp,gdpdpk,ReactionID=GDPPYPHOSKIN-RXN,,2.7.6.5,,,GUANOSINE-5DP-3DP,,,-,Escherichia coli,EcoCyc,CHEBI:77828,1.0
1351,ppgpp,gtpdpdp,ReactionID=PPPGPPHYDRO-RXN,,3.6.1.40,,,GUANOSINE-5DP-3DP,,,-,Escherichia coli,EcoCyc,CHEBI:77828,1.0
1352,ppgpp,lysdc,addition of ppGpp at low salt concentrations (25-135 mM NaCl depending on the buffer) results in a dramatic inhibition of LdcI activity of about 10fold at pH values higher than 5.0,"Guanosine 3',5'-bis(diphosphate)",4.1.1.18,C01228,0.0002377,3703,ppGpp,714832,-,Escherichia coli,BRENDA,CHEBI:17633,5.0
1353,ppgpp,orndc,ReactionID=ORNDECARBOX-RXN,,4.1.1.17,,,GUANOSINE-5DP-3DP,,,+,Escherichia coli,EcoCyc,CHEBI:77828,5.0
1354,ppgpp,upprt,ReactionID=URACIL-PRIBOSYLTRANS-RXN,,2.4.2.9,,,GUANOSINE-5DP-3DP,,,+,Escherichia coli,EcoCyc,CHEBI:77828,3.0
1355,pphn,chorm,competitive,Prephenate,5.4.99.5,C00254,,353,prephenate,3574,-,Escherichia coli,BRENDA,CHEBI:84387,1.0
1356,ppi,acs,ReactionID=ACETATE--COA-LIGASE-RXN,Diphosphate,6.2.1.1,C00013,,PPI,,,-,Escherichia coli,EcoCyc,CHEBI:29888,1.0
1357,ppi,adncyc,ReactionID=ADENYLATECYC-RXN,Diphosphate,4.6.1.1,C00013,,17,diphosphate,"34764, 34770, 34790",-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1358,ppi,argtrs,ReactionID=ARGININE--TRNA-LIGASE-RXN,Diphosphate,6.1.1.19,C00013,0.1,PPI,,,-,Escherichia coli,EcoCyc,CHEBI:29888,1.0
1359,ppi,asnn,ReactionID=GLUTAMIN-RXN,Diphosphate,3.5.1.38,C00013,,PPI,,,+,Escherichia coli,EcoCyc,CHEBI:29888,3.0
1360,ppi,asns1,noncompetitive vs. ATP,Diphosphate,6.3.5.4,C00013,,17,diphosphate,649836,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1361,ppi,aspct,,Diphosphate,2.1.3.2,C00013,0.051,17,diphosphate,"485837, 485843",-,Escherichia coli,BRENDA,CHEBI:29888,3.0
1362,ppi,aspt,ReactionID=ASPARTASE-RXN,Diphosphate,4.3.1.1,C00013,,PPI,,,-,Escherichia coli,EcoCyc,CHEBI:29888,3.0
1363,ppi,atps4rpp,location and properties of diphosphate-binding sites,Diphosphate,3.6.3.14,C00013,,17,diphosphate,210230,-,Escherichia coli,BRENDA,CHEBI:29888,3.0
1364,ppi,dntppa,"1 mM, 89% inhibition",Diphosphate,3.6.1.67,C00013,,17,diphosphate,727800,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1365,ppi,fba,,Diphosphate,4.1.2.13,C00013,,17,diphosphate,4943,-,Escherichia coli,BRENDA,CHEBI:29888,5.0
1366,ppi,g1ptt,ReactionID=DTDPGLUCOSEPP-RXN,Diphosphate,2.7.7.24,C00013,,PPI,,,-,Escherichia coli,EcoCyc,CHEBI:29888,1.0
1367,ppi,galctd,ReactionID=GALACTARDEHYDRA-RXN,Diphosphate,4.2.1.42,C00013,,17,diphosphate,5701,-,Escherichia coli,BRENDA,CHEBI:29888,7.0
1368,ppi,gdpmnp,,Diphosphate,3.6.1.21,C00013,,17,diphosphate,657184,-,Escherichia coli,BRENDA,CHEBI:29888,3.0
1369,ppi,glcral,ReactionID=KDGALDOL-RXN,Diphosphate,4.1.2.20,C00013,,17,diphosphate,5078,-,Escherichia coli,BRENDA,CHEBI:29888,5.0
1370,ppi,glgc,ReactionID=GLUC1PADENYLTRANS-RXN,Diphosphate,2.7.7.27,C00013,,PPI,,,-,Escherichia coli,EcoCyc,CHEBI:29888,1.0
1371,ppi,gmps2,competitive with respect to ATP; kinetic parameters for the two progressively formed inhibitory complexes,Diphosphate,6.3.5.2,C00013,,17,diphosphate,1362,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1372,ppi,gtpcii2,0.1 mM,Diphosphate,3.5.4.25,C00013,0.024,17,diphosphate,246729,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1373,ppi,histrs,weak,Diphosphate,6.1.1.21,C00013,,17,diphosphate,369,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1374,ppi,iletrs,partly inhibits the binding of tRNA,Diphosphate,6.1.1.5,C00013,,17,diphosphate,454,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1375,ppi,kdoct2,weak inhibition,Diphosphate,2.7.7.38,C00013,,17,diphosphate,645227,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1376,ppi,metat,ReactionID=S-ADENMETSYN-RXN,Diphosphate,2.5.1.6,C00013,,17,diphosphate,"639045, 639056",-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1377,ppi,mgsa,ReactionID=METHGLYSYN-RXN,Diphosphate,4.2.3.3,C00013,,17,diphosphate,"137600, 137601",-,Escherichia coli,BRENDA,CHEBI:29888,3.0
1378,ppi,ndpk1,ReactionID=NUCLEOSIDE-DIP-KIN-RXN,Diphosphate,2.7.4.6,C00013,,PPI,,,-,Escherichia coli,EcoCyc,CHEBI:29888,3.0
1379,ppi,nndpr,noncompetitive with respect to both 5-phosphoribosyl-1-diphosphate and quinolinate,Diphosphate,2.4.2.19,C00013,,17,diphosphate,638020,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1380,ppi,ntpp1,ReactionID=RXN0-384,Diphosphate,3.6.1.19,C00013,,PPI,,,-,Escherichia coli,EcoCyc,CHEBI:29888,1.0
1381,ppi,pants,,Diphosphate,6.3.2.1,C00013,,17,diphosphate,979,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1382,ppi,ppa,competes with ATP and methylenediphosphonate for binding at the allosteric regulatory site involving Lys112,Diphosphate,3.6.1.1,C00013,,17,diphosphate,685299,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1383,ppi,ptpati,"Substrate: ATP, Cosubstrate: phosphopantetheine (300 microM)",Diphosphate,2.7.7.3,C00013,0.12,17,diphosphate,674344,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1384,ppi,sertrs,,Diphosphate,6.1.1.11,C00013,,17,diphosphate,84,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1385,ppi,tala,,Diphosphate,2.2.1.2,C00013,,17,diphosphate,486027,-,Escherichia coli,BRENDA,CHEBI:29888,5.0
1386,ppi,tmpk,ReactionID=THI-P-KIN-RXN,Diphosphate,2.7.4.16,C00013,,17,diphosphate,642545,-,Escherichia coli,BRENDA,CHEBI:29888,3.0
1387,ppi,tmppp,"0.05 mM, 50% inhibition",Diphosphate,2.5.1.3,C00013,,17,diphosphate,639722,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1388,ppi,tyrtrs,inhibition is strengthened by chloride,Diphosphate,6.1.1.1,C00013,0.056,17,diphosphate,650300,-,Escherichia coli,BRENDA,CHEBI:29888,1.0
1389,ppp9,cpppgo,inhibition of HemF,Protoporphyrin,1.3.3.3,C02191,,15936,protoporphyrin-IX,656175,-,Escherichia coli,BRENDA,CHEBI:15430,3.0
1390,pppi,asnn,ReactionID=GLUTAMIN-RXN,Triphosphate,3.5.1.38,C00536,,P3I,,,+,Escherichia coli,EcoCyc,CHEBI:18036,5.0
1391,pppi,metat,competitive with ATP,Triphosphate,2.5.1.6,C00536,,739,tripolyphosphate,639045,-,Escherichia coli,BRENDA,CHEBI:39949,3.0
1392,pppn,phetrs,ReactionID=PHENYLALANINE--TRNA-LIGASE-RXN,,6.1.1.20,,,3-PHENYLPROPIONATE,,,-,Escherichia coli,EcoCyc,CHEBI:51057,5.0
1393,pram,pragsr,ReactionID=GLYRIBONUCSYN-RXN,,6.3.4.13,,,5-P-BETA-D-RIBOSYL-AMINE,,,-,Escherichia coli,EcoCyc,CHEBI:58681,1.0
1394,pro__l,glns,,,6.3.1.2,,,1625,proline,667442,+,Escherichia coli,BRENDA,CHEBI:60039,3.0
1395,pro__l,glu5k,AAK domain is responsible for inhibition,,2.7.2.11,,,243,L-proline,681421,-,Escherichia coli,BRENDA,CHEBI:60039,3.0
1396,pro__l,p5cr,ReactionID=PYRROLINECARBREDUCT-RXN,,1.5.1.2,,15.0,1625,proline,392126,-,Escherichia coli,BRENDA,CHEBI:60039,1.0
1397,prpp,gluprt,,5-Phospho-alpha-D-ribose 1-diphosphate,2.4.2.14,C00119,,111659,phosphoribosyl-5-phosphate,489747,+,Escherichia coli,BRENDA,CHEBI:17111,1.0
1398,prpp,upprt,inhibitory when higher concentrated as Mg2+,5-Phospho-alpha-D-ribose 1-diphosphate,2.4.2.9,C00119,,29609,5-phosphoribose 1-diphosphate,638369,-,Escherichia coli,BRENDA,CHEBI:17111,1.0
1399,pser__l,aspt,competitive,O-Phospho-L-serine,4.3.1.1,C01005,,1189,O-phospho-L-serine,6028,-,Escherichia coli,BRENDA,CHEBI:15811,5.0
1400,pser__l,hsk,,O-Phospho-L-serine,2.7.1.39,C01005,2.7,1189,O-phospho-L-serine,641471,-,Escherichia coli,BRENDA,CHEBI:15811,5.0
1401,pser__l,orndc,ReactionID=ORNDECARBOX-RXN,,4.1.1.17,,,3-P-SERINE,,,-,Escherichia coli,EcoCyc,CHEBI:57524,5.0
1402,ptrc,agmt,competitive inhibitor,Putrescine,3.5.3.11,C00134,,155,putrescine,246676,-,Escherichia coli,BRENDA,CHEBI:17148,1.0
1403,ptrc,argdc,ReactionID=ARGDECARBOX-RXN,,4.1.1.19,,,PUTRESCINE,,,-,Escherichia coli,EcoCyc,CHEBI:326268,3.0
1404,ptrc,dhfr,12 mM,Putrescine,1.5.1.3,C00134,,16078,Diaminobutane,392238,-,Escherichia coli,BRENDA,CHEBI:17148,3.0
1405,ptrc,lysdc,ReactionID=LYSDECARBOX-RXN,,4.1.1.18,,,PUTRESCINE,,,-,Escherichia coli,EcoCyc,CHEBI:326268,3.0
1406,ptrc,orndc,ReactionID=ORNDECARBOX-RXN,,4.1.1.17,,,PUTRESCINE,,,-,Escherichia coli,EcoCyc,CHEBI:326268,1.0
1407,pyam5p,gcaldd,"approx. 0.1 mM, 23% inhibition of isozyme A",Pyridoxamine phosphate,1.2.1.21,C00647,,5608,pyridoxamine phosphate,390214,-,Escherichia coli,BRENDA,CHEBI:18335,5.0
1408,pydam,gcaldd,"approx. 0.1 mM, 22% inhibition of isozyme A",Pyridoxamine,1.2.1.21,C00534,,1284,pyridoxamine,390214,-,Escherichia coli,BRENDA,CHEBI:16410,5.0
1409,pydx,argdc,,Pyridoxal,4.1.1.19,C00250,,608,pyridoxal,4086,-,Escherichia coli,BRENDA,CHEBI:17310,5.0
1410,pydx,gcaldd,"0.01 mM, 40% inhibition of total enzyme activity in cell extracts",Pyridoxal,1.2.1.21,C00250,,608,pyridoxal,390214,+,Escherichia coli,BRENDA,CHEBI:17310,5.0
1411,pydx,ppcdc,,Pyridoxal,4.1.1.36,C00250,,608,pyridoxal,4415,-,Escherichia coli,BRENDA,CHEBI:17310,5.0
1412,pydx,pydamk,ReactionID=PYRIDOXKIN-RXN,Pyridoxal,2.7.1.35,C00250,,PYRIDOXAL,,,-,Escherichia coli,EcoCyc,CHEBI:17310,3.0
1413,pydx5p,adncyc,,Pyridoxal phosphate,4.6.1.1,C00018,,32,pyridoxal 5'-phosphate,"34790, 34813",-,Escherichia coli,BRENDA,CHEBI:18405,3.0
1414,pydx5p,e4pd,ReactionID=ERYTH4PDEHYDROG-RXN,,1.2.1.72,,,PYRIDOXAL_PHOSPHATE,,,-,Escherichia coli,EcoCyc,CHEBI:597326,3.0
1415,pydx5p,gcaldd,,Pyridoxal phosphate,1.2.1.21,C00018,,32,pyridoxal 5'-phosphate,390214,+,Escherichia coli,BRENDA,CHEBI:18405,3.0
1416,pydx5p,gf6pta,ReactionID=L-GLN-FRUCT-6-P-AMINOTRANS-RXN,,2.6.1.16,,,PYRIDOXAL_PHOSPHATE,,,-,Escherichia coli,EcoCyc,CHEBI:597326,3.0
1417,pydx5p,glgc,ReactionID=GLUC1PADENYLTRANS-RXN,Pyridoxal phosphate,2.7.7.27,C00018,,32,pyridoxal 5'-phosphate,643141,+,Escherichia coli,BRENDA,CHEBI:18405,3.0
1418,pydx5p,gludy,"at 10 mM, 90% inhibition, complete protection when 16.8 mM 2-oxoglutarate and 1.68 mM NADP+ are added",Pyridoxal phosphate,1.4.1.4,C00018,,32,pyridoxal 5'-phosphate,391667,-,Escherichia coli,BRENDA,CHEBI:18405,3.0
1419,pydx5p,glyc3pabcpp,98.5% inhibition at 10 mM,Pyridoxal phosphate,3.6.3.20,C00018,,32,pyridoxal 5'-phosphate,718976,-,Escherichia coli,BRENDA,CHEBI:18405,3.0
1420,pydx5p,hsk,,Pyridoxal phosphate,2.7.1.39,C00018,,32,pyridoxal 5'-phosphate,641473,-,Escherichia coli,BRENDA,CHEBI:18405,3.0
1421,pydx5p,pdx5poi,competitive inhibition,Pyridoxal phosphate,1.4.3.5,C00018,0.008,32,pyridoxal 5'-phosphate,391903,-,Escherichia coli,BRENDA,CHEBI:18405,1.0
1422,pydx5p,ppcdc,,Pyridoxal phosphate,4.1.1.36,C00018,,32,pyridoxal 5'-phosphate,4415,-,Escherichia coli,BRENDA,CHEBI:18405,5.0
1423,pydx5p,pscvt,ReactionID=2.5.1.19-RXN,,2.5.1.19,,,PYRIDOXAL_PHOSPHATE,,,-,Escherichia coli,EcoCyc,CHEBI:597326,3.0
1424,pydx5p,pydamk,ReactionID=PYRIDOXKIN-RXN,,2.7.1.35,,,PYRIDOXAL_PHOSPHATE,,,-,Escherichia coli,EcoCyc,CHEBI:597326,3.0
1425,pydxn,gcaldd,"approx. 0.1 mM, 33% inhibition of isozyme C, 0.39 mM, 50% inhibition",Pyridoxine,1.2.1.21,C00314,0.33,1051,pyridoxine,390214,+,Escherichia coli,BRENDA,CHEBI:16709,5.0
1426,pydxn,hmpk1,inhibits competitively the phosphorylation of 2-methyl-4-amino-5-hydroxymethylpyrimidine,Pyridoxine,2.7.1.49,C00314,0.0027,1051,pyridoxine,641658,-,Escherichia coli,BRENDA,CHEBI:16709,3.0
1427,pyr,acnml,elimination,Pyruvate,4.1.3.3,C00022,,31,pyruvate,33314,-,Escherichia coli,BRENDA,CHEBI:32816,1.0
1428,pyr,admdc,,Pyruvate,4.1.1.50,C00022,,31,pyruvate,4660,+,Escherichia coli,BRENDA,CHEBI:32816,5.0
1429,pyr,dxps,substrate inhibition,Pyruvate,2.2.1.7,C00022,,31,pyruvate,719975,-,Escherichia coli,BRENDA,CHEBI:32816,1.0
1430,pyr,glgc,,Pyruvate,2.7.7.27,C00022,,31,pyruvate,643152,+,Escherichia coli,BRENDA,CHEBI:32816,3.0
1431,pyr,glusy,20% inhibition at 50 mM,Pyruvate,1.4.1.13,C00022,,31,pyruvate,391438,-,Escherichia coli,BRENDA,CHEBI:32816,3.0
1432,pyr,hopntal,"pH 8.0, 25°C",Pyruvate,4.1.3.39,C00022,0.51,31,pyruvate,702377,-,Escherichia coli,BRENDA,CHEBI:32816,1.0
1433,pyr,ldh_d,ReactionID=DLACTDEHYDROGNAD-RXN,,1.1.1.28,,,PYRUVATE,,,+,Escherichia coli,EcoCyc,CHEBI:15361,1.0
1434,pyr,mals,; competitive,Pyruvate,2.3.3.9,C00022,0.65,31,pyruvate,660456,-,Escherichia coli,BRENDA,CHEBI:32816,3.0
1435,pyr,mcpst,"10 mM: 17% inhibition, 20 mM: 45% inhibition",Pyruvate,2.8.1.2,C00022,,31,pyruvate,645548,-,Escherichia coli,BRENDA,CHEBI:32816,1.0
1436,pyr,mohmt,"5 mM, 38% inhibition",Pyruvate,2.1.2.11,C00022,,31,pyruvate,485700,-,Escherichia coli,BRENDA,CHEBI:32816,3.0
1437,pyr,obtfl,,Pyruvate,2.3.1.54,C00022,,31,pyruvate,"487221, 487239",+,Escherichia coli,BRENDA,CHEBI:32816,3.0
1438,pyr,pscvt,"20 mM, 85% inactivation after 1 h in the presence of cyanoborhydride, no inactivation in the absence of cyanoborhydride, preincubation with 5-enolpyruvylshikimate or a combination of shikimate 3-phosphate and glyphosate prevents from inactivation",Pyruvate,2.5.1.19,C00022,,31,pyruvate,638178,-,Escherichia coli,BRENDA,CHEBI:32816,3.0
1439,pyr,psd120,,Pyruvate,4.1.1.65,C00022,,31,pyruvate,4780,+,Escherichia coli,BRENDA,CHEBI:32816,5.0
1440,pyr,pta2,ReactionID=PHOSACETYLTRANS-RXN,Pyruvate,2.3.1.8,C00022,,31,pyruvate,487532,+,Escherichia coli,BRENDA,CHEBI:32816,3.0
1441,pyr,pthrpp,ReactionID=DEPHOSICITDEHASE-RXN,,3.1.3,,,PYRUVATE,,,+,Escherichia coli,EcoCyc,CHEBI:15361,5.0
1442,pyr,serd_l,"uncompetitive inhibition and substrate inhibition with respect to L-Thr, noncompetitive inhibition with respect to AMP",Pyruvate,4.3.1.19,C00022,,31,pyruvate,210823,-,Escherichia coli,BRENDA,CHEBI:32816,1.0
1443,r15bp,ppm2,ReactionID=D-PPENTOMUT-RXN,"D-Ribose 1,5-bisphosphate",5.4.2.7,C01151,,44769,"ribose-1,5-diphosphate",3340,+,Escherichia coli,BRENDA,CHEBI:17994,7.0
1444,r1p,duripp,competitive,alpha-D-Ribose 1-phosphate,2.4.2.4,C00620,,2355,ribose 1-phosphate,638444,-,Escherichia coli,BRENDA,CHEBI:16300,3.0
1445,r1p,pynp2r,product inhibition,alpha-D-Ribose 1-phosphate,2.4.2.3,C00620,,2355,ribose 1-phosphate,"638518, 638520",-,Escherichia coli,BRENDA,CHEBI:16300,1.0
1446,rib__d,rbk,substrate inhibition,D-Ribose,2.7.1.15,C00121,,292,D-ribose,673692,-,Escherichia coli,BRENDA,CHEBI:47013,1.0
1447,ribflv,airc2,,Riboflavin,6.3.4.18,C00255,,351,riboflavin,702643,-,Escherichia coli,BRENDA,CHEBI:17015,3.0
1448,ru5p__d,gnd,ReactionID=RXN-9952,,1.1.1.44,,,RIBULOSE-5P,,,-,Escherichia coli,EcoCyc,CHEBI:58121,1.0
1449,s17bp,ddpa,,"Sedoheptulose 1,7-bisphosphate",2.5.1.54,C00447,,101771,"D-sedoheptulose 1,7-diphosphate",639741,-,Escherichia coli,BRENDA,CHEBI:17969,3.0
1450,s17bp,glgc,,"Sedoheptulose 1,7-bisphosphate",2.7.7.27,C00447,,869,"sedoheptulose 1,7-diphosphate",643144,+,Escherichia coli,BRENDA,CHEBI:17969,3.0
1451,s7p,ddpa,,Sedoheptulose 7-phosphate,2.5.1.54,C05382,,3626,D-sedoheptulose 7-phosphate,639741,-,Escherichia coli,BRENDA,CHEBI:15721,3.0
1452,sarcs,betaldhx,"1 mM, 24% inhibition",,1.2.1.8,,130.0,2750,N-methylglycine,390329,-,Escherichia coli,BRENDA,CHEBI:57433,5.0
1453,sbt6p,gf6pta,competitive with respect to D-fructose 6-phosphate,Sorbitol 6-phosphate,2.6.1.16,C01096,2.46,22020,D-glucitol 6-phosphate,639929,-,Escherichia coli,BRENDA,CHEBI:17044,3.0
1454,selnp,selnps,weak,Selenophosphoric acid,2.7.9.3,C05172,,4899,Selenophosphate,645479,-,Escherichia coli,BRENDA,CHEBI:64331,1.0
1455,ser__l,csnd,,,3.5.4.1,,,95,L-serine,209497,+,Escherichia coli,BRENDA,CHEBI:33384,3.0
1456,ser__l,ghmt2r,,,2.1.2.1,,,95,L-serine,718984,+,Escherichia coli,BRENDA,CHEBI:33384,1.0
1457,ser__l,glns,ReactionID=GLUTAMINESYN-RXN,,6.3.1.2,,,870,Ser,37497,-,Escherichia coli,BRENDA,CHEBI:33384,3.0
1458,ser__l,glusy,significant inhibitor,,1.4.1.13,,,95,L-serine,391438,-,Escherichia coli,BRENDA,CHEBI:33384,3.0
1459,ser__l,hsdy,,,1.1.1.3,,,95,L-serine,246398,-,Escherichia coli,BRENDA,CHEBI:33384,3.0
1460,ser__l,hsk,"pH 7.8, 37°C",,2.7.1.39,,27.0,262,L-Ser,641470,-,Escherichia coli,BRENDA,CHEBI:33384,3.0
1461,ser__l,ocbt,weak,,2.1.3.3,,63.5,95,L-serine,485898,-,Escherichia coli,BRENDA,CHEBI:33384,3.0
1462,ser__l,pgcd,binding of the inhibitor to the apoenzyme displays positive cooperativity in the binding of the first two serine molecules and negative cooperativity in the binding of the last two serine molecules. At least two NADH-induced conformational forms of the enzyme bind the inhibitor in the physiological range. Successive binding of NADH to the enzyme results in an increase in the affinity for the first inhibitor ligand bound and a lessening of both the positive and negative cooperativity of inhibitor binding,,1.1.1.95,,,262,L-Ser,656083,-,Escherichia coli,BRENDA,CHEBI:33384,3.0
1463,ser__l,psp_l,ReactionID=RXN0-5114,,3.1.3.3,,,SER,,,-,Escherichia coli,EcoCyc,CHEBI:33384,1.0
1464,ser__l,serat,"above 3 mM, weak",,2.3.1.30,,,95,L-serine,486752,-,Escherichia coli,BRENDA,CHEBI:33384,1.0
1465,ser__l,serd_d,"25°C, pH 7.8",,4.3.1.18,,3.0,95,L-serine,651969,-,Escherichia coli,BRENDA,CHEBI:33384,3.0
1466,ser__l,uamas,,,6.3.2.8,,,262,L-Ser,"1286, 1289",-,Escherichia coli,BRENDA,CHEBI:33384,3.0
1467,so3,cyanst,ReactionID=THIOSULFATE-SULFURTRANSFERASE-RXN,Sulfite,2.8.1.1,C00094,,902,SO32-,645502,-,Escherichia coli,BRENDA,CHEBI:48854,1.0
1468,so3,ntrir2x,"1 mM, 22% inhibition",Sulfite,1.7.1.4,C00094,,902,SO32-,392923,-,Escherichia coli,BRENDA,CHEBI:48854,5.0
1469,so4,ampn,,Sulfate,3.2.2.4,C00059,,160,sulfate,171817,-,Escherichia coli,BRENDA,CHEBI:26836,5.0
1470,so4,ctps2,,Sulfate,6.3.4.2,C00059,,245,SO42-,648963,-,Escherichia coli,BRENDA,CHEBI:26836,3.0
1471,so4,cyanst,ReactionID=THIOSULFATE-SULFURTRANSFERASE-RXN,Sulfate,2.8.1.1,C00059,,SULFATE,,,-,Escherichia coli,EcoCyc,CHEBI:16189,5.0
1472,so4,duripp,inhibition reversed by phosphate,Sulfate,2.4.2.4,C00059,,245,SO42-,638445,-,Escherichia coli,BRENDA,CHEBI:26836,3.0
1473,so4,fbp,ReactionID=F16BDEPHOS-RXN,Sulfate,3.1.3.11,C00059,,160,sulfate,665719,+,Escherichia coli,BRENDA,CHEBI:26836,3.0
1474,so4,icl,,Sulfate,4.1.3.1,C00059,,245,SO42-,33118,-,Escherichia coli,BRENDA,CHEBI:26836,5.0
1475,so4,ppm2,"50 mM, 85% inhibition",Sulfate,5.4.2.7,C00059,,245,SO42-,3340,-,Escherichia coli,BRENDA,CHEBI:26836,5.0
1476,so4,rmpa,,Sulfate,4.1.2.19,C00059,,160,sulfate,713694,-,Escherichia coli,BRENDA,CHEBI:26836,5.0
1477,so4,sulri,,Sulfate,1.8.1.2,C00059,,160,sulfate,392964,-,Escherichia coli,BRENDA,CHEBI:26836,3.0
1478,so4,tala,,Sulfate,2.2.1.2,C00059,,160,sulfate,486027,-,Escherichia coli,BRENDA,CHEBI:26836,5.0
1479,so4,tyrtrs,inhibition in presence of 1 mM free Mg2+,Sulfate,6.1.1.1,C00059,,160,sulfate,650300,-,Escherichia coli,BRENDA,CHEBI:26836,3.0
1480,spmd,admdc,ReactionID=SAMDECARB-RXN,,4.1.1.50,,,SPERMIDINE,,,-,Escherichia coli,EcoCyc,CHEBI:57834,3.0
1481,spmd,apcs,W strain,Spermidine,2.5.1.16,C00315,,148,spermidine,392545,-,Escherichia coli,BRENDA,CHEBI:16610,3.0
1482,spmd,argdc,ReactionID=ARGDECARBOX-RXN,Spermidine,4.1.1.19,C00315,,148,spermidine,"4085, 4086",-,Escherichia coli,BRENDA,CHEBI:16610,3.0
1483,spmd,argtrs,,Spermidine,6.1.1.19,C00315,,148,spermidine,270,+,Escherichia coli,BRENDA,CHEBI:16610,3.0
1484,spmd,dhfr,12 mM,Spermidine,1.5.1.3,C00315,,148,spermidine,392238,-,Escherichia coli,BRENDA,CHEBI:16610,3.0
1485,spmd,g3pat120,ReactionID=RXN-1381,,2.3.1.15,,,SPERMIDINE,,,+,Escherichia coli,EcoCyc,CHEBI:57834,5.0
1486,spmd,g6pdh2r,,Spermidine,1.1.1.49,C00315,,148,spermidine,722577,+,Escherichia coli,BRENDA,CHEBI:16610,3.0
1487,spmd,iletrs,,Spermidine,6.1.1.5,C00315,,148,spermidine,454,+,Escherichia coli,BRENDA,CHEBI:16610,3.0
1488,spmd,lysdc,ReactionID=LYSDECARBOX-RXN,,4.1.1.18,,,SPERMIDINE,,,-,Escherichia coli,EcoCyc,CHEBI:57834,3.0
1489,spmd,orndc,ReactionID=ORNDECARBOX-RXN,,4.1.1.17,,,SPERMIDINE,,,-,Escherichia coli,EcoCyc,CHEBI:57834,3.0
1490,spmd,ptrcabcpp,inhibits ATPase activity of Pot A,Spermidine,3.6.3.31,C00315,,148,spermidine,210313,-,Escherichia coli,BRENDA,CHEBI:16610,3.0
1491,succ,abta,"wild-type, pH 7.8, 25°C",Succinate,2.6.1.19,C00042,27.0,58,succinate,661189,-,Escherichia coli,BRENDA,CHEBI:15741,3.0
1492,succ,adss,poor inhibitor,Succinate,6.3.4.4,C00042,0.89,58,succinate,649423,-,Escherichia coli,BRENDA,CHEBI:15741,3.0
1493,succ,asp1dc,ReactionID=GLUTDECARBOX-RXN,,4.1.1.15,,,SUC,,,-,Escherichia coli,EcoCyc,CHEBI:30031,3.0
1494,succ,aspct,"inhibition of catalytic subunits, C3",Succinate,2.1.3.2,C00042,3.5,58,succinate,485853,+,Escherichia coli,BRENDA,CHEBI:15741,3.0
